Column Name,Data Value
College Name,Madras Christian College (MCC)
Type,Autonomous College (Affiliated to University of Madras)
About,"Established in 1837, MCC is one of India’s oldest higher education institutions known for academic excellence, research, and holistic development."
Established,1837
Location,"Tambaram East, Chennai – 600059, Tamil Nadu, India"
Accreditation,NAAC A++ (Reaccredited)
RANKING & REPUTATION,Ranked among Top Arts & Science Colleges in India; Autonomous Status; Strong Academic & Research Output.
PLACEMENT DATA,"Placement Percentage: 75–85%, Average Package: ₹3.5 – 5 LPA, Top Recruiters: TCS, Infosys, Wipro, Cognizant, HCL"
STUDENT CLUBS,"Literary Clubs, Science Forum, NSS, NCC, Rotaract, Cultural Committee, Eco Club, Entrepreneurship Cell"
Courses Offered,"B.A, B.Com, B.Sc, B.S.W, B.B.A, B.C.A, M.A, M.Com, M.S.W, M.Sc, M.C.A, Ph.D."
Hostel Available,Yes (Separate for Boys & Girls)
Average Package,₹3.5 – 5 LPA
Admission Mode,UG: Merit-Based; PG & Ph.D: Entrance + Interview
Popular Courses,"B.Sc Computer Science, B.C.A, B.Com, M.Sc Chemistry, M.C.A"
Course,Course (split) batch,Duration,Stream,Specialization,Annual Fees (₹)
B.A English Language & Literature [Aided],UG,3 Years,Arts,English Language & Literature,"15,000"
B.A Tamil Literature [Aided],UG,3 Years,Arts,Tamil Literature,"12,000"
B.A History [Aided],UG,3 Years,Arts,History,"13,000"
B.A Political Science [Aided],UG,3 Years,Arts,Political Science,"13,000"
B.A Economics [Aided],UG,3 Years,Arts,Economics,"14,000"
B.A Philosophy [Aided],UG,3 Years,Arts,Philosophy,"12,000"
B.Com General [Aided],UG,3 Years,Commerce,General,"18,000"
B.Sc Mathematics [Aided],UG,3 Years,Science,Mathematics,"20,000"
B.Sc Statistics [Aided],UG,3 Years,Science,Statistics,"20,000"
B.Sc Physics [Aided],UG,3 Years,Science,Physics,"22,000"
B.Sc Chemistry [Aided],UG,3 Years,Science,Chemistry,"22,000"
B.Sc Plant Biology & Biotechnology [Aided],UG,3 Years,Science,Plant Biology & Biotechnology,"23,000"
B.Sc Zoology [Aided],UG,3 Years,Science,Zoology,"23,000"
M.A English [Aided],PG,2 Years,Arts,English,"18,000"
M.A Tamil [Aided],PG,2 Years,Arts,Tamil,"15,000"
M.A History [Aided],PG,2 Years,Arts,History,"17,000"
M.A Political Science [Aided],PG,2 Years,Arts,Political Science,"17,000"
M.A Public Administration [Aided],PG,2 Years,Arts,Public Administration,"17,000"
M.A Economics [Aided],PG,2 Years,Arts,Economics,"18,000"
M.A Philosophy [Aided],PG,2 Years,Arts,Philosophy,"15,000"
M.Com General [Aided],PG,2 Years,Commerce,General,"20,000"
M.S.W Community Development [Aided],PG,2 Years,Social Work,Community Development,"22,000"
M.Sc Mathematics [Aided],PG,2 Years,Science,Mathematics,"25,000"
M.Sc Statistics [Aided],PG,2 Years,Science,Statistics,"25,000"
M.Sc Physics [Aided],PG,2 Years,Science,Physics,"28,000"
M.Sc Chemistry [Aided],PG,2 Years,Science,Chemistry,"28,000"
M.Sc Plant Biology & Biotechnology [Aided],PG,2 Years,Science,Plant Biology & Biotechnology,"30,000"
M.Sc Zoology [Aided],PG,2 Years,Science,Zoology,"30,000"
Ph.D All Full-Time Departments [Aided],Ph.D,3–5 Years,Research,All Full-Time Departments,"35,000"
Ph.D Telugu (Part-Time) [Aided],Ph.D,3–5 Years,Research,Telugu (Part-Time),"30,000"
Ph.D Social Work (Part-Time) [Aided],Ph.D,3–5 Years,Research,Social Work (Part-Time),"30,000"
B.A English [Self-Financed],UG,3 Years,Arts,English,"40,000"
B.A Journalism [Self-Financed],UG,3 Years,Arts,Journalism,"50,000"
B.A History (Archeology & Museology) [Self-Financed],UG,3 Years,Arts,History (Archeology & Museology),"45,000"
B.S.W Social Work [Self-Financed],UG,3 Years,Social Work,Social Work,"55,000"
B.Com General [Self-Financed],UG,3 Years,Commerce,General,"50,000"
B.Com Accounting & Finance [Self-Financed],UG,3 Years,Commerce,Accounting & Finance,"60,000"
B.Com Professional Accounting [Self-Financed],UG,3 Years,Commerce,Professional Accounting,"65,000"
